acl	2.3.1-3
hunspell-fr-classical	1:7.0-1
hunspell-gl	1:7.5.0-1
hunspell-gl-es	1:7.5.0-1
hunspell-gu	1:7.5.0-1
hunspell-hi	1:7.5.0-1
hunspell-hr	1:7.5.0-1
hunspell-hu	1:7.5.0-1
hunspell-id	1:7.5.0-1
hunspell-is	1:7.5.0-1
hunspell-it	1:7.5.0-1
hunspell-kk	1.1-3
hunspell-kmr	1:7.5.0-1
hunspell-ko	0.7.92-1
hunspell-lt	1:7.5.0-1
hunspell-lv	1.4.0-4
hunspell-ml	0.1-2.1
hunspell-ne	1:7.5.0-1
hunspell-nl	2:2.20.19-2
hunspell-pl	1:7.5.0-1
hunspell-pt-br	1:7.5.0-1
hunspell-pt-pt	1:7.5.0-1
hunspell-ro	1:7.5.0-1
hunspell-ru	1:7.5.0-1
hunspell-si	1:7.5.0-1
hunspell-sl	1:7.5.0-1
hunspell-sr	1:7.5.0-1
hunspell-sv	1:7.5.0-1
hunspell-sv-se	1:7.5.0-1
hunspell-te	1:7.5.0-1
hunspell-th	1:7.5.0-1
hunspell-vi	1:7.5.0-1
hyphen-de	1:7.5.0-1
hyphen-en-us	2.8.8-7
hyphen-hr	1:7.5.0-1
hyphen-hu	1:7.5.0-1
hyphen-lt	1:7.5.0-1
i2c-tools	4.3-2+b3
i965-va-driver	2.4.1+dfsg1-1
iamerican	3.4.05-1
ibrazilian	3.0~beta4-24
ibritish	3.4.05-1
ibulgarian	4.1-7
ibus	1.5.27-5
ibus-data	1.5.27-5
ibus-gtk	1.5.27-5
ibus-gtk3	1.5.27-5
ibus-gtk4	1.5.27-5
ibus-hangul	1.5.4-2
icatalan	0.20111230b-14
idanish	1.6.36-14
idutch	1:2.20.19-2
ienglish-common	3.4.05-1
ifrench-gut	1:1.0-32.2
ifupdown	0.8.41
ihungarian	1.6.1-2.1
iio-sensor-proxy	3.0-2
iitalian	1:2.3-3.1
ilithuanian	1.3.2-3
im-config	0.55-2
imagemagick	8:6.9.11.60+dfsg-1.6+deb12u2
imagemagick-6-common	8:6.9.11.60+dfsg-1.6+deb12u2
imagemagick-6.q16	8:6.9.11.60+dfsg-1.6+deb12u2
indi-dsi	0.4+20221223123028-1
ingerman	20161207-11
init	1.65.2
init-system-helpers	1.65.2
initramfs-tools	0.142+deb12u1
initramfs-tools-core	0.142+deb12u1
inorwegian	2.2-4
intel-media-va-driver	23.1.1+dfsg1-1
intel-microcode	3.20250211.1~deb12u1
inxi	3.3.26-1-1
ipolish	20220301-1
iportuguese	20220621-1
ipp-usb	0.9.23-1+b4
iproute2	6.1.0-3
iputils-ping	3:20221126-1+deb12u1
irussian	0.99g5-29
isc-dhcp-client	4.4.3-P1-2
isc-dhcp-common	4.4.3-P1-2
iso-codes	4.15.0-1
ispanish	1.11-20
ispell	3.4.05-1
iswiss	20161207-11
iucode-tool	2.3.1-3
iw	5.19-1
ixo-usb-jtag	0.0.1-2
javascript-common	11+nmu1
jh7100-bootloader-recovery	0~2021.07.14~git2b268a1c-2
